StyleCode,Variant1_Option_Code,Variant2_Option_Code,Variant3_Option_Code,Variant4_Option_Code,Variant5_Option_Code,USD_Price
AB00550,09,12,240M,,,515
AB00550,09,13,240M,,,485
AB00550,09,14,240M,,,465
AB00550,09,15,240M,,,455
AB00550,09,16,240M,,,435
AB00550,09,23,240M,,,430
AB00550,09,LG,240M,,,245
AB00550,14,MT,240M,,,340
AB00550,14,12,240M,,,665
AB00550,14,13,240M,,,635
AB00550,14,14,240M,,,615
AB00550,14,15,240M,,,605
AB00550,14,16,240M,,,585
AB00550,14,23,240M,,,580
AB00550,14,LG,240M,,,395
AB00550,18,MT,240M,,,490
AB00550,18,12,240M,,,815
AB00550,18,13,240M,,,790
AB00550,18,14,240M,,,765
AB00550,18,15,240M,,,760
AB00550,18,16,240M,,,740
AB00550,18,23,240M,,,730
AB00550,18,LG,240M,,,550
AB00550,PLAT,MT,240M,,,530
AB00550,PLAT,12,240M,,,855
AB00550,PLAT,13,240M,,,825
AB00550,PLAT,14,240M,,,805
AB00550,PLAT,15,240M,,,795
AB00550,PLAT,16,240M,,,775
AB00550,PLAT,23,240M,,,765
AB00550,PLAT,LG,240M,,,585
AB00550,09,MT,270M,,,205
AB00550,09,12,270M,,,685
AB00550,09,13,270M,,,660
AB00550,09,14,270M,,,610
AB00550,09,15,270M,,,600
AB00550,09,16,270M,,,560
AB00550,09,23,270M,,,560
AB00550,09,LG,270M,,,285
AB00550,14,MT,270M,,,375
AB00550,14,12,270M,,,855
AB00550,14,13,270M,,,825
AB00550,14,14,270M,,,780
AB00550,14,15,270M,,,770
AB00550,14,16,270M,,,730
AB00550,14,23,270M,,,730
AB00550,14,LG,270M,,,450
AB00550,18,MT,270M,,,545
AB00550,18,12,270M,,,1020
AB00550,18,13,270M,,,995
AB00550,18,14,270M,,,950
AB00550,18,15,270M,,,940
AB00550,18,16,270M,,,895
AB00550,18,23,270M,,,895
AB00550,18,LG,270M,,,620
AB00550,PLAT,MT,270M,,,585
AB00550,PLAT,12,270M,,,1060
AB00550,PLAT,13,270M,,,1035
AB00550,PLAT,14,270M,,,990
AB00550,PLAT,15,270M,,,980
AB00550,PLAT,16,270M,,,935
AB00550,PLAT,23,270M,,,935
