StyleCode,VariantCode,Shape,Setting,StoneCount,StoneSize,Metal,Quality,Price
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,18,E-F / VS  (Lab Grown),995.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,PLAT,F-G / VS (Mined),1385.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,PLAT,G-H / SI (Mined),1250.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,PLAT,E-F / VS  (Lab Grown),970.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,10,F-G / VS (Mined),1165.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,10,G-H / SI (Mined),975.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,10,E-F / VS  (Lab Grown),550.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,14,F-G / VS (Mined),1450.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,14,G-H / SI (Mined),1260.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,14,E-F / VS  (Lab Grown),840.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,18,F-G / VS (Mined),1755.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,18,G-H / SI (Mined),1560.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,18,E-F / VS  (Lab Grown),1140.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,PLAT,F-G / VS (Mined),1725.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,PLAT,G-H / SI (Mined),1535.00
WBRDFP,WBRDFP-270M50,Round,French Pave,50%,2.7 mm,PLAT,E-F / VS  (Lab Grown),1115.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,10,F-G / VS (Mined),475.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,10,G-H / SI (Mined),420.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,10,E-F / VS  (Lab Grown),350.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,14,F-G / VS (Mined),635.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,14,G-H / SI (Mined),580.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,14,E-F / VS  (Lab Grown),510.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,18,F-G / VS (Mined),800.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,18,G-H / SI (Mined),745.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,18,E-F / VS  (Lab Grown),675.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,PLAT,F-G / VS (Mined),785.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,PLAT,G-H / SI (Mined),730.00
WBRDFP,WBRDFP-140M75,Round,French Pave,75%,1.4 mm,PLAT,E-F / VS  (Lab Grown),660.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,10,F-G / VS (Mined),755.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,10,G-H / SI (Mined),630.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,10,E-F / VS  (Lab Grown),435.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,14,F-G / VS (Mined),965.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,14,G-H / SI (Mined),840.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,14,E-F / VS  (Lab Grown),650.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,18,F-G / VS (Mined),1190.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,18,G-H / SI (Mined),1065.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,18,E-F / VS  (Lab Grown),875.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,PLAT,F-G / VS (Mined),1170.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,PLAT,G-H / SI (Mined),1045.00
WBRDFP,WBRDFP-190M75,Round,French Pave,75%,1.9 mm,PLAT,E-F / VS  (Lab Grown),855.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,10,F-G / VS (Mined),1175.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,10,G-H / SI (Mined),975.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,10,E-F / VS  (Lab Grown),545.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,14,F-G / VS (Mined),1445.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,14,G-H / SI (Mined),1245.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,14,E-F / VS  (Lab Grown),815.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,18,F-G / VS (Mined),1730.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,18,G-H / SI (Mined),1530.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,18,E-F / VS  (Lab Grown),1100.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,PLAT,F-G / VS (Mined),1705.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,PLAT,G-H / SI (Mined),1505.00
WBRDFP,WBRDFP-240M75,Round,French Pave,75%,2.4 mm,PLAT,E-F / VS  (Lab Grown),1075.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,10,F-G / VS (Mined),1590.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,10,G-H / SI (Mined),1300.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,10,E-F / VS  (Lab Grown),650.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,14,F-G / VS (Mined),1905.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,14,G-H / SI (Mined),1610.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,14,E-F / VS  (Lab Grown),960.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,18,F-G / VS (Mined),2230.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,18,G-H / SI (Mined),1935.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,18,E-F / VS  (Lab Grown),1290.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,PLAT,F-G / VS (Mined),2200.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,PLAT,G-H / SI (Mined),1910.00
WBRDFP,WBRDFP-270M75,Round,French Pave,75%,2.7 mm,PLAT,E-F / VS  (Lab Grown),1260.00
WBRDMP,WBRDMP-140M00,Round,Micro Prong,Eternity,1.4 mm,10,F-G / VS (Mined),555.00
